weights,q_inv_angstrom,intensity
12905.390766+7.865480i,0.000000,782599357.081179
12905.390766+7.865480i,0.020000,766199607.252520
12905.390766+7.865480i,0.040000,718590414.292377
12905.390766+7.865480i,0.060000,644335765.590679
12905.390766+7.865480i,0.080000,550386151.830494
12905.390766+7.865480i,0.100000,445198092.141227
12905.390766+7.865480i,0.120000,337691330.301659
12905.390766+7.865480i,0.140000,236195539.610679
12905.390766+7.865480i,0.160000,147534996.203817
12905.390766+7.865480i,0.180000,76372945.112205
12905.390766+7.865480i,0.200000,24892389.581550
12905.390766+7.865480i,0.220000,-7165144.128544
12905.390766+7.865480i,0.240000,-22137128.546139
12905.390766+7.865480i,0.260000,-23835259.764759
12905.390766+7.865480i,0.280000,-16810883.367913
12905.390766+7.865480i,0.300000,-5613836.572694
12905.390766+7.865480i,0.320000,5842272.604659
12905.390766+7.865480i,0.340000,14723313.547791
12905.390766+7.865480i,0.360000,19481106.442672
12905.390766+7.865480i,0.380000,19821578.960174
12905.390766+7.865480i,0.400000,16472940.616827
12905.390766+7.865480i,0.420000,10821547.314199
12905.390766+7.865480i,0.440000,4497662.908162
12905.390766+7.865480i,0.460000,-1008199.792361
12905.390766+7.865480i,0.480000,-4633483.244735
12905.390766+7.865480i,0.500000,-5897291.909644
